time_iso8601,forks_cumulative
2013-01-29 00:00:00+00:00,1
2013-07-22 00:00:00+00:00,2
2013-08-25 00:00:00+00:00,3
2014-01-31 00:00:00+00:00,4
2014-04-04 00:00:00+00:00,5
2014-04-26 00:00:00+00:00,6
2014-07-21 00:00:00+00:00,7
2014-08-18 00:00:00+00:00,8
2015-03-12 00:00:00+00:00,9
2015-03-16 00:00:00+00:00,10
2015-04-01 00:00:00+00:00,11
2015-05-31 00:00:00+00:00,12
2015-08-12 00:00:00+00:00,13
2015-08-21 00:00:00+00:00,14
2015-10-17 00:00:00+00:00,15
2015-11-18 00:00:00+00:00,16
2015-12-21 00:00:00+00:00,17
2016-01-21 00:00:00+00:00,18
2016-02-15 00:00:00+00:00,19
2016-03-07 00:00:00+00:00,20
2016-03-09 00:00:00+00:00,21
2016-05-03 00:00:00+00:00,22
2016-11-07 00:00:00+00:00,23
2017-01-19 00:00:00+00:00,24
2017-01-20 00:00:00+00:00,25
2017-02-02 00:00:00+00:00,26
2017-02-11 00:00:00+00:00,27
2017-03-04 00:00:00+00:00,28
2017-03-09 00:00:00+00:00,29
2017-03-22 00:00:00+00:00,30
2017-03-23 00:00:00+00:00,31
2017-03-25 00:00:00+00:00,32
2017-04-10 00:00:00+00:00,34
2017-05-02 00:00:00+00:00,35
2017-05-15 00:00:00+00:00,36
2017-06-11 00:00:00+00:00,37
2017-07-02 00:00:00+00:00,38
2017-07-21 00:00:00+00:00,39
2017-09-13 00:00:00+00:00,40
2017-09-15 00:00:00+00:00,41
2017-09-28 00:00:00+00:00,42
2017-10-07 00:00:00+00:00,43
2017-10-23 00:00:00+00:00,44
2017-11-23 00:00:00+00:00,45
2017-12-07 00:00:00+00:00,46
2017-12-25 00:00:00+00:00,47
2018-01-02 00:00:00+00:00,48
2018-01-15 00:00:00+00:00,49
2018-01-18 00:00:00+00:00,50
2018-02-12 00:00:00+00:00,51
2018-03-08 00:00:00+00:00,52
2018-03-09 00:00:00+00:00,53
2018-03-13 00:00:00+00:00,54
2018-03-15 00:00:00+00:00,55
2018-03-23 00:00:00+00:00,56
2018-05-03 00:00:00+00:00,57
2018-05-12 00:00:00+00:00,58
2018-05-15 00:00:00+00:00,60
2018-05-17 00:00:00+00:00,61
2018-05-28 00:00:00+00:00,62
2018-06-09 00:00:00+00:00,63
2018-06-18 00:00:00+00:00,64
2018-06-30 00:00:00+00:00,65
2018-07-05 00:00:00+00:00,66
2018-08-24 00:00:00+00:00,67
2018-08-30 00:00:00+00:00,68
2018-09-11 00:00:00+00:00,69
2018-09-19 00:00:00+00:00,70
2018-09-22 00:00:00+00:00,71
2018-10-03 00:00:00+00:00,72
2018-10-14 00:00:00+00:00,73
2018-11-12 00:00:00+00:00,74
2018-11-25 00:00:00+00:00,75
2019-02-26 00:00:00+00:00,76
2019-02-28 00:00:00+00:00,77
2019-03-08 00:00:00+00:00,78
2019-03-27 00:00:00+00:00,79
2019-03-30 00:00:00+00:00,80
2019-04-24 00:00:00+00:00,81
2019-05-12 00:00:00+00:00,82
2019-05-26 00:00:00+00:00,83
2019-06-03 00:00:00+00:00,84
2019-06-06 00:00:00+00:00,86
2019-06-18 00:00:00+00:00,87
2019-06-21 00:00:00+00:00,88
2019-06-23 00:00:00+00:00,89
2019-07-02 00:00:00+00:00,90
2019-07-11 00:00:00+00:00,91
2019-07-23 00:00:00+00:00,92
2019-07-30 00:00:00+00:00,93
2019-08-09 00:00:00+00:00,94
2019-08-13 00:00:00+00:00,95
2019-08-23 00:00:00+00:00,96
2019-10-09 00:00:00+00:00,97
2019-10-30 00:00:00+00:00,98
2019-11-29 00:00:00+00:00,99
2019-12-03 00:00:00+00:00,100
2020-01-08 00:00:00+00:00,101
2020-01-13 00:00:00+00:00,102
2020-01-14 00:00:00+00:00,103
2020-02-15 00:00:00+00:00,104
2020-02-17 00:00:00+00:00,106
2020-02-20 00:00:00+00:00,107
2020-03-08 00:00:00+00:00,108
2020-03-09 00:00:00+00:00,109
2020-03-10 00:00:00+00:00,110
2020-03-14 00:00:00+00:00,111
2020-03-27 00:00:00+00:00,112
2020-03-28 00:00:00+00:00,113
2020-04-02 00:00:00+00:00,114
2020-04-03 00:00:00+00:00,115
2020-04-11 00:00:00+00:00,116
2020-04-18 00:00:00+00:00,117
2020-04-21 00:00:00+00:00,118
2020-04-24 00:00:00+00:00,119
2020-04-25 00:00:00+00:00,120
2020-04-28 00:00:00+00:00,121
2020-05-20 00:00:00+00:00,122
2020-05-23 00:00:00+00:00,123
2020-05-24 00:00:00+00:00,124
2020-06-15 00:00:00+00:00,125
2020-06-25 00:00:00+00:00,126
2020-06-28 00:00:00+00:00,127
2020-07-04 00:00:00+00:00,128
2020-07-06 00:00:00+00:00,129
2020-07-07 00:00:00+00:00,130
2020-07-26 00:00:00+00:00,131
2020-08-03 00:00:00+00:00,132
2020-08-13 00:00:00+00:00,133
2020-08-27 00:00:00+00:00,134
2020-10-06 00:00:00+00:00,135
2020-10-08 00:00:00+00:00,136
2020-10-10 00:00:00+00:00,137
2020-10-27 00:00:00+00:00,138
2020-12-20 00:00:00+00:00,139
2021-01-03 00:00:00+00:00,140
2021-01-13 00:00:00+00:00,141
2021-01-21 00:00:00+00:00,142
2021-02-08 00:00:00+00:00,144
2021-02-14 00:00:00+00:00,145
2021-02-19 00:00:00+00:00,146
2021-03-09 00:00:00+00:00,147
2021-03-15 00:00:00+00:00,148
2021-03-18 00:00:00+00:00,149
2021-03-27 00:00:00+00:00,150
2021-04-02 00:00:00+00:00,151
2021-04-08 00:00:00+00:00,152
2021-05-07 00:00:00+00:00,153
2021-06-02 00:00:00+00:00,154
2021-06-07 00:00:00+00:00,155
2021-06-10 00:00:00+00:00,156
