time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-24 00:00:00+00:00,83,33,25,13
2025-09-25 00:00:00+00:00,47,24,42,17
2025-09-26 00:00:00+00:00,27,20,11,11
2025-09-27 00:00:00+00:00,16,12,22,17
2025-09-28 00:00:00+00:00,42,18,48,19
2025-09-29 00:00:00+00:00,295,48,29,16
2025-09-30 00:00:00+00:00,23,15,26,13
2025-10-01 00:00:00+00:00,21,17,48,12
2025-10-02 00:00:00+00:00,8,6,13,12
2025-10-03 00:00:00+00:00,11,10,42,14
2025-10-04 00:00:00+00:00,97,62,39,8
2025-10-05 00:00:00+00:00,85,11,22,14
2025-10-06 00:00:00+00:00,237,27,30,17
2025-10-07 00:00:00+00:00,62,18,80,54
