time_iso8601,stars_cumulative
2012-11-27 00:00:00+00:00,4
2012-11-29 00:00:00+00:00,5
2013-04-15 00:00:00+00:00,6
2013-05-16 00:00:00+00:00,7
2013-07-15 00:00:00+00:00,8
2013-10-25 00:00:00+00:00,9
2013-11-07 00:00:00+00:00,10
2013-12-26 00:00:00+00:00,11
2014-02-19 00:00:00+00:00,12
2014-02-22 00:00:00+00:00,13
2014-04-26 00:00:00+00:00,14
2014-06-04 00:00:00+00:00,15
2014-06-12 00:00:00+00:00,16
2014-06-17 00:00:00+00:00,17
2014-07-13 00:00:00+00:00,18
2014-07-27 00:00:00+00:00,19
2014-08-12 00:00:00+00:00,20
2014-08-26 00:00:00+00:00,21
2014-09-20 00:00:00+00:00,22
2014-09-28 00:00:00+00:00,23
2014-11-23 00:00:00+00:00,24
2014-11-29 00:00:00+00:00,25
2015-01-14 00:00:00+00:00,26
2015-01-15 00:00:00+00:00,27
2015-01-27 00:00:00+00:00,28
2015-02-07 00:00:00+00:00,29
2015-02-10 00:00:00+00:00,30
2015-03-16 00:00:00+00:00,31
2015-03-22 00:00:00+00:00,32
2015-04-06 00:00:00+00:00,33
2015-04-08 00:00:00+00:00,34
2015-04-17 00:00:00+00:00,35
2015-05-11 00:00:00+00:00,36
2015-05-29 00:00:00+00:00,37
2015-06-03 00:00:00+00:00,38
2015-07-06 00:00:00+00:00,39
2015-07-14 00:00:00+00:00,40
2015-08-27 00:00:00+00:00,41
2015-10-01 00:00:00+00:00,42
2015-10-15 00:00:00+00:00,43
2015-10-17 00:00:00+00:00,44
2015-10-20 00:00:00+00:00,45
2015-11-05 00:00:00+00:00,46
2015-11-12 00:00:00+00:00,47
2015-11-15 00:00:00+00:00,48
2015-12-03 00:00:00+00:00,49
2015-12-18 00:00:00+00:00,50
2015-12-27 00:00:00+00:00,51
2016-01-02 00:00:00+00:00,52
2016-01-08 00:00:00+00:00,53
2016-01-21 00:00:00+00:00,54
2016-02-15 00:00:00+00:00,56
2016-02-20 00:00:00+00:00,57
2016-03-23 00:00:00+00:00,58
2016-04-03 00:00:00+00:00,59
2016-04-11 00:00:00+00:00,60
2016-04-13 00:00:00+00:00,61
2016-04-19 00:00:00+00:00,62
2016-04-21 00:00:00+00:00,64
2016-04-25 00:00:00+00:00,65
2016-04-30 00:00:00+00:00,66
2016-05-09 00:00:00+00:00,67
2016-05-16 00:00:00+00:00,68
2016-05-17 00:00:00+00:00,69
2016-05-26 00:00:00+00:00,70
2016-06-13 00:00:00+00:00,71
2016-07-11 00:00:00+00:00,72
2016-07-12 00:00:00+00:00,73
2016-07-19 00:00:00+00:00,74
2016-07-20 00:00:00+00:00,75
2016-07-22 00:00:00+00:00,76
2016-08-16 00:00:00+00:00,77
2016-08-27 00:00:00+00:00,78
2016-09-02 00:00:00+00:00,79
2016-10-20 00:00:00+00:00,80
2016-10-26 00:00:00+00:00,81
2016-11-01 00:00:00+00:00,82
2016-11-02 00:00:00+00:00,83
2016-11-12 00:00:00+00:00,84
2016-12-16 00:00:00+00:00,85
2016-12-21 00:00:00+00:00,86
2016-12-28 00:00:00+00:00,87
2017-01-11 00:00:00+00:00,88
2017-01-19 00:00:00+00:00,89
2017-01-25 00:00:00+00:00,90
2017-02-07 00:00:00+00:00,91
2017-02-10 00:00:00+00:00,92
2017-02-18 00:00:00+00:00,93
2017-03-01 00:00:00+00:00,94
2017-03-02 00:00:00+00:00,95
2017-03-07 00:00:00+00:00,96
2017-03-14 00:00:00+00:00,97
2017-03-17 00:00:00+00:00,98
2017-03-19 00:00:00+00:00,99
2017-03-29 00:00:00+00:00,100
2017-03-31 00:00:00+00:00,101
2017-04-10 00:00:00+00:00,103
2017-05-02 00:00:00+00:00,104
2017-05-08 00:00:00+00:00,105
2017-05-26 00:00:00+00:00,106
2017-05-31 00:00:00+00:00,107
2017-06-14 00:00:00+00:00,108
2017-06-19 00:00:00+00:00,109
2017-06-23 00:00:00+00:00,110
2017-06-27 00:00:00+00:00,112
2017-07-02 00:00:00+00:00,114
2017-07-10 00:00:00+00:00,115
2017-07-14 00:00:00+00:00,116
2017-07-17 00:00:00+00:00,117
2017-07-21 00:00:00+00:00,118
2017-07-28 00:00:00+00:00,119
2017-07-29 00:00:00+00:00,120
2017-08-05 00:00:00+00:00,121
2017-08-06 00:00:00+00:00,122
2017-08-07 00:00:00+00:00,123
2017-08-08 00:00:00+00:00,124
2017-09-14 00:00:00+00:00,125
2017-09-15 00:00:00+00:00,126
2017-09-22 00:00:00+00:00,127
2017-09-29 00:00:00+00:00,129
2017-10-02 00:00:00+00:00,130
2017-10-08 00:00:00+00:00,131
2017-10-09 00:00:00+00:00,132
2017-10-14 00:00:00+00:00,133
2017-10-19 00:00:00+00:00,134
2017-11-12 00:00:00+00:00,135
2017-11-17 00:00:00+00:00,136
2017-11-20 00:00:00+00:00,138
