time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-12 00:00:00+00:00,3,3,1,1
2025-02-13 00:00:00+00:00,5,4,38,18
2025-02-14 00:00:00+00:00,3,3,15,9
2025-02-15 00:00:00+00:00,5,5,46,19
2025-02-16 00:00:00+00:00,120,3,11,7
2025-02-17 00:00:00+00:00,6,4,24,15
2025-02-18 00:00:00+00:00,6,3,40,21
2025-02-19 00:00:00+00:00,1,1,73,13
2025-02-20 00:00:00+00:00,1,1,20,15
2025-02-21 00:00:00+00:00,0,0,35,21
2025-02-22 00:00:00+00:00,10,3,14,11
2025-02-23 00:00:00+00:00,20,2,19,10
2025-02-24 00:00:00+00:00,89,8,63,21
2025-02-25 00:00:00+00:00,7,6,54,17
2025-02-26 00:00:00+00:00,4,4,184,23
2025-02-27 00:00:00+00:00,2,2,67,31
2025-02-28 00:00:00+00:00,0,0,38,20
2025-03-01 00:00:00+00:00,4,4,91,53
2025-03-02 00:00:00+00:00,19,1,19,12
2025-03-03 00:00:00+00:00,113,7,45,23
2025-03-04 00:00:00+00:00,8,6,40,22
2025-03-05 00:00:00+00:00,3,2,40,24
2025-03-06 00:00:00+00:00,6,5,64,15
2025-03-07 00:00:00+00:00,3,3,99,30
2025-03-08 00:00:00+00:00,13,12,60,16
2025-03-09 00:00:00+00:00,31,10,114,17
2025-03-10 00:00:00+00:00,174,14,116,42
2025-03-11 00:00:00+00:00,5,4,97,27
2025-03-12 00:00:00+00:00,94,13,106,31
2025-03-13 00:00:00+00:00,9,4,82,21
2025-03-14 00:00:00+00:00,4,4,74,21
2025-03-15 00:00:00+00:00,8,7,85,15
2025-03-16 00:00:00+00:00,23,4,64,20
2025-03-17 00:00:00+00:00,97,14,134,26
2025-03-18 00:00:00+00:00,47,2,120,33
2025-03-19 00:00:00+00:00,4,4,159,36
2025-03-20 00:00:00+00:00,4,4,65,26
2025-03-21 00:00:00+00:00,54,5,440,34
2025-03-22 00:00:00+00:00,10,4,209,12
2025-03-23 00:00:00+00:00,25,5,93,12
