time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-01 00:00:00+00:00,6,6,7,6
2025-11-02 00:00:00+00:00,2,2,13,4
2025-11-03 00:00:00+00:00,1,1,19,5
2025-11-04 00:00:00+00:00,3,3,8,5
2025-11-05 00:00:00+00:00,3,3,13,9
2025-11-06 00:00:00+00:00,6,5,3,3
2025-11-07 00:00:00+00:00,3,3,6,5
2025-11-08 00:00:00+00:00,19,6,22,5
2025-11-09 00:00:00+00:00,10,8,4,4
2025-11-10 00:00:00+00:00,7,7,4,4
2025-11-11 00:00:00+00:00,6,6,8,3
2025-11-12 00:00:00+00:00,2,1,5,5
2025-11-13 00:00:00+00:00,1,1,1,1
2025-11-14 00:00:00+00:00,2,2,12,5
