time_iso8601,stars_cumulative
2018-04-02 00:00:00+00:00,1
2018-04-21 00:00:00+00:00,2
2018-09-03 00:00:00+00:00,3
2018-09-10 00:00:00+00:00,4
2018-09-17 00:00:00+00:00,5
2018-09-19 00:00:00+00:00,6
2018-10-03 00:00:00+00:00,7
2018-10-11 00:00:00+00:00,8
2019-04-01 00:00:00+00:00,9
2019-05-07 00:00:00+00:00,10
2019-06-06 00:00:00+00:00,11
2020-01-12 00:00:00+00:00,12
2020-02-25 00:00:00+00:00,13
2020-06-02 00:00:00+00:00,14
2020-06-24 00:00:00+00:00,15
2020-07-02 00:00:00+00:00,16
2020-11-18 00:00:00+00:00,17
2021-02-24 00:00:00+00:00,18
2021-04-09 00:00:00+00:00,19
2021-04-17 00:00:00+00:00,21
2021-06-02 00:00:00+00:00,22
2021-11-01 00:00:00+00:00,23
2021-12-27 00:00:00+00:00,24
2022-02-24 00:00:00+00:00,25
2022-03-14 00:00:00+00:00,26
2022-04-17 00:00:00+00:00,27
2022-05-02 00:00:00+00:00,28
2022-05-24 00:00:00+00:00,30
2022-05-29 00:00:00+00:00,31
2022-07-14 00:00:00+00:00,33
2022-07-16 00:00:00+00:00,34
2022-09-13 00:00:00+00:00,35
2022-09-14 00:00:00+00:00,36
2022-09-15 00:00:00+00:00,37
2022-09-29 00:00:00+00:00,38
2022-10-25 00:00:00+00:00,39
2022-10-26 00:00:00+00:00,40
2022-11-12 00:00:00+00:00,41
2022-11-13 00:00:00+00:00,42
2022-12-01 00:00:00+00:00,43
2023-02-05 00:00:00+00:00,44
2023-02-15 00:00:00+00:00,45
2023-02-21 00:00:00+00:00,46
2023-03-17 00:00:00+00:00,47
2023-04-17 00:00:00+00:00,48
2023-05-19 00:00:00+00:00,49
2023-06-09 00:00:00+00:00,50
2023-07-03 00:00:00+00:00,51
2023-07-10 00:00:00+00:00,52
2023-08-03 00:00:00+00:00,53
2023-08-13 00:00:00+00:00,54
2024-01-07 00:00:00+00:00,55
2024-03-25 00:00:00+00:00,56
2024-07-02 00:00:00+00:00,57
2024-07-06 00:00:00+00:00,58
2024-10-29 00:00:00+00:00,59
2024-12-10 00:00:00+00:00,60
2025-02-13 00:00:00+00:00,61
