time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-12 00:00:00+00:00,3,3,4,3
2026-08-13 00:00:00+00:00,4,4,0,0
2026-08-14 00:00:00+00:00,2,2,1,1
2026-08-15 00:00:00+00:00,3,2,2,2
2026-08-16 00:00:00+00:00,3,3,1,1
2026-08-17 00:00:00+00:00,4,4,5,5
2026-08-18 00:00:00+00:00,10,9,2,2
2026-08-19 00:00:00+00:00,9,8,3,1
2026-08-20 00:00:00+00:00,15,14,2,2
2026-08-21 00:00:00+00:00,33,24,4,2
2026-08-22 00:00:00+00:00,5,4,1,1
2026-08-23 00:00:00+00:00,21,17,1,1
2026-08-24 00:00:00+00:00,6,6,0,0
2026-08-25 00:00:00+00:00,4,2,5,5
