time_iso8601,stars_cumulative
2014-10-21 00:00:00+00:00,1
2015-01-14 00:00:00+00:00,2
2015-01-27 00:00:00+00:00,3
2016-11-10 00:00:00+00:00,4
2017-05-13 00:00:00+00:00,5
2017-09-16 00:00:00+00:00,6
2017-10-01 00:00:00+00:00,7
2017-12-30 00:00:00+00:00,8
2018-02-21 00:00:00+00:00,9
2018-09-28 00:00:00+00:00,10
2018-10-20 00:00:00+00:00,12
2018-10-21 00:00:00+00:00,13
2019-02-18 00:00:00+00:00,14
2020-02-18 00:00:00+00:00,15
2020-03-05 00:00:00+00:00,16
2020-03-17 00:00:00+00:00,17
2020-04-11 00:00:00+00:00,18
2020-06-02 00:00:00+00:00,19
2020-06-17 00:00:00+00:00,20
2020-06-22 00:00:00+00:00,21
2020-06-28 00:00:00+00:00,22
2020-07-07 00:00:00+00:00,23
2020-09-15 00:00:00+00:00,24
2020-09-22 00:00:00+00:00,25
2020-12-05 00:00:00+00:00,26
2020-12-11 00:00:00+00:00,27
2021-01-14 00:00:00+00:00,28
2021-01-26 00:00:00+00:00,29
2021-02-19 00:00:00+00:00,30
2021-04-17 00:00:00+00:00,32
2021-05-14 00:00:00+00:00,33
2021-06-05 00:00:00+00:00,34
2021-11-30 00:00:00+00:00,35
2022-04-08 00:00:00+00:00,36
2022-05-10 00:00:00+00:00,37
2022-06-15 00:00:00+00:00,38
2022-08-18 00:00:00+00:00,39
2022-10-10 00:00:00+00:00,40
2023-01-01 00:00:00+00:00,41
2023-09-21 00:00:00+00:00,42
2023-12-09 00:00:00+00:00,43
2024-04-16 00:00:00+00:00,44
2024-10-29 00:00:00+00:00,45
