time_iso8601,forks_cumulative
2016-08-24 00:00:00+00:00,1
2018-03-15 00:00:00+00:00,2
2018-04-27 00:00:00+00:00,3
2018-05-12 00:00:00+00:00,4
2020-02-20 00:00:00+00:00,5
2020-06-10 00:00:00+00:00,6
2020-09-12 00:00:00+00:00,7
2020-10-26 00:00:00+00:00,8
2021-03-15 00:00:00+00:00,9
2024-03-10 00:00:00+00:00,10
2024-03-14 00:00:00+00:00,11
2024-06-05 00:00:00+00:00,12
2025-03-05 00:00:00+00:00,13
2025-03-07 00:00:00+00:00,14
2025-03-08 00:00:00+00:00,15
2025-04-03 00:00:00+00:00,16
2026-02-19 00:00:00+00:00,17
2026-02-27 00:00:00+00:00,18
2026-03-01 00:00:00+00:00,19
2026-03-08 00:00:00+00:00,20
2026-03-14 00:00:00+00:00,22
