time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-13 00:00:00+00:00,3,3,12,5
2026-03-14 00:00:00+00:00,10,9,104,9
2026-03-15 00:00:00+00:00,1,1,26,6
2026-03-16 00:00:00+00:00,3,3,62,4
2026-03-17 00:00:00+00:00,108,33,94,9
2026-03-18 00:00:00+00:00,39,22,248,13
2026-03-19 00:00:00+00:00,3,3,32,11
2026-03-20 00:00:00+00:00,2,2,31,11
2026-03-21 00:00:00+00:00,32,21,184,7
2026-03-22 00:00:00+00:00,8,8,34,8
2026-03-23 00:00:00+00:00,6,6,54,8
2026-03-24 00:00:00+00:00,5,5,126,13
2026-03-25 00:00:00+00:00,5,4,28,11
2026-03-26 00:00:00+00:00,14,10,104,7
